%Le graphe de la ville d'Autun avec 12 arrêts de bus.

n 100 200 0
n 241 300 1
n 241 100 2
n 382 200 3
n 100 100 4
n 500 100 5
n 350 350 6
n 100 300 7
n 150 200 8
n 400 300 9
n 250 250 10
n 450 450 11
e 0 1 0 30
e 0 2 1 40
e 0 3 2 50
e 0 9 3 60
e 0 8 4 35
e 1 8 5 45
e 1 7 6 20
e 1 4 7 55
e 2 8 8 25
e 2 5 9 30
e 2 10 10 60
e 3 7 11 50
e 3 11 12 70
e 7 5 13 25
e 7 11 14 40
e 8 6 15 30
e 8 11 16 55
e 9 6 17 35
e 9 7 18 50
e 6 5 19 45
e 6 11 20 60
e 7 5 21 65
e 7 11 22 50
e 7 9 23 30
e 10 11 24 15
e 10 6 25 25
e 11 5 26 20
e 11 6 27 35
e 11 4 28 50
e 11 5 29 40
e 7 6 30 30
e 1 0 31 30
e 7 0 32 20
e 8 0 33 35
e 10 0 34 25
e 6 0 35 45
e 11 0 36 60
e 5 7 37 20 
e 4 10 38 70
